miliseg,AcX,AcY,AcZ
252280.0,1.72,-9.14,-2.48
252300.0,1.77,-9.47,-2.23
252320.0,1.78,-9.4,-2.41
252340.0,1.6,-9.2,-2.43
252360.0,1.71,-9.2,-2.39
252380.0,1.7,-9.33,-2.22
252400.0,1.8,-9.49,-2.35
252420.0,1.8,-9.14,-2.41
252440.0,1.63,-9.11,-2.45
252460.0,1.63,-9.24,-2.45
252480.0,1.71,-9.24,-2.32
252500.0,1.72,-9.33,-2.24
252520.0,1.68,-9.29,-2.4
252540.0,1.61,-9.16,-2.39
252560.0,1.69,-9.15,-2.4
252580.0,1.67,-9.16,-2.41
252600.0,1.56,-9.18,-2.48
252620.0,1.59,-9.27,-2.38
252640.0,1.67,-9.36,-2.29
252660.0,1.72,-9.17,-2.38
252680.0,1.69,-9.04,-2.46
252700.0,1.66,-9.18,-2.42
252720.0,1.64,-9.35,-2.24
252740.0,1.65,-9.33,-2.36
252760.0,1.63,-9.25,-2.37
252780.0,1.6,-9.31,-2.32
252800.0,1.68,-9.28,-2.34
252820.0,1.71,-9.18,-2.43
252840.0,1.74,-9.16,-2.43
252860.0,1.71,-9.29,-2.32
252880.0,1.62,-9.18,-2.4
252900.0,1.54,-9.09,-2.39
252920.0,1.71,-9.25,-2.29
252940.0,1.72,-9.36,-2.3
252960.0,1.63,-9.35,-2.41
252980.0,1.66,-9.2,-2.35
253000.0,1.66,-9.11,-2.35
253020.0,1.61,-9.18,-2.39
253040.0,1.56,-9.29,-2.3
253060.0,1.63,-9.24,-2.39
253080.0,1.86,-9.31,-2.35
253100.0,1.77,-9.41,-2.31
253120.0,1.75,-9.32,-2.48
253140.0,1.68,-9.01,-2.42
253160.0,1.71,-9.2,-2.45
253180.0,1.86,-9.39,-2.31
253200.0,1.76,-9.37,-2.22
253220.0,1.64,-9.25,-2.39
253240.0,1.68,-9.11,-2.36
253260.0,1.76,-9.23,-2.17
253280.0,1.63,-9.32,-2.26
253300.0,1.51,-9.11,-2.49
253320.0,1.58,-9.18,-2.4
253340.0,1.7,-9.42,-2.12
253360.0,1.67,-9.42,-2.34
253380.0,1.65,-9.18,-2.49
253400.0,1.68,-9.11,-2.39
253420.0,1.66,-9.3,-2.28
253440.0,1.68,-9.41,-2.24
253460.0,1.62,-9.36,-2.25
253480.0,1.63,-9.26,-2.27
253500.0,1.71,-9.25,-2.3
253520.0,1.69,-9.36,-2.18
253540.0,1.63,-9.42,-2.19
253560.0,1.64,-9.31,-2.22
253580.0,1.55,-8.98,-2.32
253600.0,1.47,-9.17,-2.37
253620.0,1.54,-9.43,-2.12
253640.0,1.5,-9.53,-2.04
253660.0,1.58,-9.26,-2.25
253680.0,1.56,-8.99,-2.3
253700.0,1.5,-9.13,-2.3
253720.0,1.57,-9.43,-2.15
253740.0,1.61,-9.37,-2.09
253760.0,1.6,-9.17,-2.32
253780.0,1.56,-9.21,-2.27
253800.0,1.59,-9.37,-2.06
253820.0,1.55,-9.36,-2.19
253840.0,1.48,-9.3,-2.21
253860.0,1.56,-9.28,-2.27
253880.0,1.61,-9.31,-2.14
253900.0,1.59,-9.3,-2.18
253920.0,1.68,-9.26,-2.29
253940.0,1.67,-9.31,-2.15
253960.0,1.64,-9.34,-2.29
253980.0,1.53,-9.26,-2.28
254000.0,1.57,-9.26,-2.16
254020.0,1.64,-9.41,-2.13
254040.0,1.71,-9.51,-2.08
254060.0,1.7,-9.41,-2.11
254080.0,1.63,-9.36,-2.16
254100.0,1.57,-9.32,-2.12
254120.0,1.56,-9.35,-2.0
254140.0,1.65,-9.47,-2.09
254160.0,1.68,-9.25,-2.04
254180.0,1.61,-9.2,-2.18
254200.0,1.52,-9.36,-2.15
254220.0,1.54,-9.37,-2.09
254240.0,1.64,-9.23,-2.2
254260.0,1.54,-9.2,-2.23
254280.0,1.47,-9.37,-2.19
254300.0,1.53,-9.35,-2.15
254320.0,1.74,-9.21,-2.25
254340.0,1.7,-9.11,-2.26
254360.0,1.59,-9.34,-2.3
254380.0,1.52,-9.58,-2.11
254400.0,1.59,-9.51,-2.04
254420.0,1.58,-9.27,-2.13
254440.0,1.61,-9.27,-2.16
254460.0,1.56,-9.28,-2.21
254480.0,1.61,-9.26,-2.07
254500.0,1.57,-9.31,-2.06
254520.0,1.61,-9.22,-2.14
254540.0,1.54,-9.25,-2.15
254560.0,1.51,-9.26,-2.1
254580.0,1.61,-9.38,-2.2
254600.0,1.78,-9.42,-2.07
254620.0,1.7,-9.41,-2.14
254640.0,1.7,-9.36,-2.3
254660.0,1.56,-9.26,-2.23
254680.0,1.56,-9.25,-2.2
254700.0,1.63,-9.32,-2.07
254720.0,1.61,-9.4,-2.07
254740.0,1.56,-9.34,-2.22
254760.0,1.65,-9.31,-2.17
254780.0,1.71,-9.37,-2.12
254800.0,1.61,-9.28,-2.14
254820.0,1.6,-9.3,-2.17
254840.0,1.61,-9.46,-2.2
254860.0,1.61,-9.39,-2.03
254880.0,1.68,-9.28,-2.08
254900.0,1.61,-9.17,-2.33
254920.0,1.48,-9.14,-2.21
254940.0,1.48,-9.4,-2.15
254960.0,1.7,-9.45,-2.17
254980.0,1.62,-9.27,-2.06
255000.0,1.54,-9.24,-2.3
