miliseg,AcX,AcY,AcZ
149860.0,2.74,-6.49,-6.24
149880.0,2.84,-6.48,-6.29
149900.0,2.95,-6.72,-6.03
149920.0,2.95,-6.77,-6.0
149940.0,2.96,-6.67,-6.2
149960.0,2.9,-6.87,-6.16
149980.0,2.89,-6.8,-5.91
150000.0,2.88,-6.64,-5.87
150020.0,2.89,-6.72,-5.94
150040.0,2.85,-6.78,-6.11
150060.0,2.87,-6.85,-6.1
150080.0,2.83,-6.84,-5.95
150100.0,2.89,-6.88,-5.88
150120.0,2.91,-6.78,-5.93
150140.0,2.8,-6.59,-6.09
150160.0,2.81,-6.81,-6.0
150180.0,2.82,-6.85,-5.89
150200.0,2.87,-6.77,-5.95
150220.0,2.91,-6.78,-5.91
150240.0,2.75,-6.61,-6.13
150260.0,2.78,-6.58,-6.24
150280.0,2.99,-6.95,-6.04
150300.0,2.92,-7.0,-5.8
150320.0,2.87,-6.9,-6.0
150340.0,2.84,-6.68,-6.08
150360.0,2.69,-6.7,-6.01
150380.0,2.8,-6.75,-6.11
150400.0,2.84,-6.5,-6.02
150420.0,2.77,-6.7,-6.04
150440.0,2.96,-7.0,-5.97
150460.0,2.96,-6.83,-6.01
150480.0,2.84,-6.81,-6.1
150500.0,2.87,-6.94,-5.97
150520.0,2.82,-6.94,-5.81
150540.0,2.91,-6.8,-5.97
150560.0,2.69,-6.45,-6.1
150580.0,2.72,-6.78,-6.18
150600.0,2.83,-7.17,-5.83
150620.0,2.94,-6.91,-6.0
150640.0,2.88,-6.42,-6.19
150660.0,2.78,-6.73,-6.04
150680.0,2.83,-6.93,-5.97
150700.0,2.78,-6.59,-6.07
150720.0,2.71,-6.72,-5.86
150740.0,2.7,-7.01,-5.8
150760.0,2.59,-6.98,-5.79
150780.0,2.66,-6.96,-5.91
150800.0,2.64,-6.71,-6.05
150820.0,2.79,-6.71,-5.93
150840.0,2.82,-6.7,-6.03
150860.0,2.71,-6.61,-6.11
150880.0,2.82,-6.64,-6.13
150900.0,2.78,-7.01,-5.84
150920.0,2.72,-6.98,-5.95
150940.0,2.85,-6.65,-6.2
150960.0,2.87,-6.91,-5.95
150980.0,2.74,-6.85,-5.99
151000.0,2.84,-6.51,-6.23
151020.0,2.91,-6.77,-6.11
151040.0,2.74,-7.05,-5.93
151060.0,2.8,-6.87,-5.87
151080.0,2.73,-6.73,-5.97
151100.0,2.69,-6.56,-6.17
151120.0,2.97,-6.63,-6.11
151140.0,2.92,-6.76,-6.0
151160.0,2.79,-6.9,-5.97
151180.0,2.66,-6.85,-6.03
151200.0,2.78,-7.0,-6.06
151220.0,2.96,-6.88,-5.85
151240.0,2.74,-6.57,-5.86
151260.0,2.67,-6.8,-6.16
151280.0,2.81,-6.96,-6.11
151300.0,2.83,-6.76,-5.82
151320.0,2.76,-6.59,-5.88
151340.0,2.79,-6.56,-6.22
151360.0,2.88,-6.89,-6.16
151380.0,2.89,-7.04,-5.88
151400.0,2.78,-6.65,-5.98
151420.0,2.7,-6.45,-6.21
151440.0,2.78,-6.77,-6.29
151460.0,2.83,-6.92,-5.96
151480.0,2.87,-6.79,-5.86
151500.0,2.94,-6.74,-6.03
151520.0,2.89,-6.83,-6.13
151540.0,2.76,-6.77,-6.01
151560.0,2.72,-6.69,-5.99
151580.0,2.8,-6.86,-6.01
151600.0,2.81,-6.75,-5.99
