miliseg,AcX,AcY,AcZ
176780.0,9.99,-0.11,0.48
176800.0,9.98,-0.01,0.34
176820.0,9.99,0.04,0.12
176840.0,9.94,0.03,0.16
176860.0,10.07,0.08,0.28
176880.0,10.03,0.02,0.45
176900.0,10.05,-0.13,0.34
176920.0,10.03,-0.09,0.19
176940.0,10.04,-0.01,0.31
176960.0,10.06,-0.03,0.4
176980.0,10.0,-0.11,0.34
177000.0,10.0,-0.18,0.22
177020.0,10.07,-0.02,0.32
177040.0,10.04,0.15,0.4
177060.0,9.98,0.01,0.37
177080.0,9.94,-0.17,0.2
177100.0,9.99,-0.04,0.18
177120.0,9.95,0.15,0.33
177140.0,10.0,0.08,0.47
177160.0,10.02,-0.07,0.25
177180.0,10.07,-0.11,0.14
177200.0,10.01,-0.07,0.34
177220.0,10.02,-0.03,0.45
177240.0,10.04,-0.05,0.33
177260.0,10.02,-0.06,0.23
177280.0,10.02,-0.14,0.31
177300.0,10.0,-0.06,0.39
177320.0,10.01,0.03,0.21
177340.0,9.97,0.03,0.22
177360.0,9.97,-0.06,0.34
177380.0,10.01,-0.04,0.38
177400.0,9.98,0.03,0.24
177420.0,9.94,-0.05,0.19
177440.0,10.0,-0.18,0.32
177460.0,10.04,-0.11,0.32
177480.0,10.01,0.03,0.33
177500.0,9.92,-0.01,0.26
177520.0,10.01,-0.16,0.3
177540.0,10.05,-0.23,0.34
177560.0,10.03,0.03,0.31
177580.0,9.99,0.16,0.17
177600.0,10.04,-0.01,0.17
177620.0,10.0,-0.06,0.28
177640.0,9.96,0.0,0.22
177660.0,9.99,0.0,0.17
177680.0,9.98,-0.06,0.23
177700.0,9.97,-0.01,0.26
177720.0,9.99,-0.03,0.3
177740.0,9.97,-0.07,0.29
177760.0,10.05,-0.07,0.25
177780.0,10.02,0.0,0.27
177800.0,10.02,-0.1,0.27
177820.0,10.02,-0.16,0.22
177840.0,10.04,-0.11,0.19
177860.0,10.05,-0.1,0.26
177880.0,10.0,0.01,0.23
177900.0,9.92,0.11,0.2
177920.0,10.03,0.05,0.23
177940.0,9.98,-0.1,0.39
177960.0,9.96,-0.14,0.2
177980.0,9.98,-0.03,0.12
178000.0,9.98,0.06,0.32
178020.0,10.04,-0.15,0.42
178040.0,10.0,-0.18,0.18
178060.0,9.97,-0.07,0.09
178080.0,10.03,-0.03,0.24
178100.0,10.09,-0.09,0.37
178120.0,10.0,-0.09,0.25
178140.0,10.0,-0.04,0.14
178160.0,9.92,-0.02,0.21
178180.0,9.97,-0.02,0.27
178200.0,10.04,-0.04,0.36
178220.0,10.0,-0.08,0.32
178240.0,9.95,-0.0,0.08
178260.0,10.03,0.01,0.07
178280.0,10.07,-0.03,0.37
178300.0,10.04,-0.04,0.42
178320.0,10.03,-0.09,0.17
178340.0,9.97,-0.11,0.12
178360.0,9.96,-0.09,0.31
178380.0,10.02,-0.04,0.52
178400.0,9.97,0.02,0.31
178420.0,9.95,-0.06,0.14
178440.0,10.02,-0.12,0.22
178460.0,10.08,0.01,0.39
178480.0,10.05,0.12,0.28
178500.0,10.05,-0.02,0.1
178520.0,10.06,-0.22,0.21
178540.0,10.04,-0.14,0.4
178560.0,10.01,-0.02,0.37
178580.0,9.93,-0.13,0.23
178600.0,9.9,-0.18,0.27
178620.0,9.98,-0.06,0.4
178640.0,10.04,0.12,0.42
178660.0,10.0,-0.0,0.29
178680.0,10.0,-0.16,0.08
178700.0,10.03,-0.11,0.22
178720.0,10.05,-0.07,0.32
178740.0,10.0,0.0,0.2
178760.0,9.96,-0.03,0.24
178780.0,10.03,-0.16,0.25
178800.0,10.05,-0.08,0.31
178820.0,9.96,0.07,0.32
178840.0,10.0,-0.09,0.28
178860.0,10.05,-0.21,0.39
178880.0,10.0,-0.08,0.4
178900.0,9.92,-0.07,0.28
178920.0,10.0,-0.18,0.24
178940.0,10.02,-0.25,0.33
178960.0,10.0,-0.06,0.25
178980.0,9.95,0.1,0.12
179000.0,9.94,-0.01,0.17
179020.0,9.92,-0.17,0.32
179040.0,9.95,-0.07,0.31
179060.0,9.96,0.05,0.3
179080.0,9.98,-0.02,0.32
179100.0,10.04,-0.21,0.34
179120.0,10.02,-0.14,0.39
179140.0,9.97,-0.04,0.33
179160.0,10.07,-0.19,0.15
179180.0,10.15,-0.23,0.22
179200.0,10.06,-0.12,0.37
179220.0,10.01,-0.01,0.33
179240.0,10.02,-0.13,0.28
179260.0,10.0,-0.13,0.24
179280.0,9.96,-0.04,0.3
179300.0,9.93,0.01,0.37
179320.0,10.02,-0.1,0.39
179340.0,10.0,-0.24,0.27
179360.0,10.05,-0.07,0.21
179380.0,10.01,-0.01,0.31
179400.0,10.01,-0.13,0.4
179420.0,9.96,-0.06,0.27
179440.0,10.02,0.0,0.01
179460.0,9.96,-0.09,0.21
179480.0,10.03,-0.17,0.35
179500.0,10.0,-0.14,0.2
179520.0,10.01,-0.1,0.09
179540.0,9.99,-0.05,0.09
179560.0,9.97,-0.08,0.19
179580.0,10.05,-0.13,0.36
179600.0,9.95,-0.02,0.4
179620.0,9.96,-0.03,0.14
179640.0,10.02,-0.16,0.15
179660.0,9.99,-0.18,0.42
179680.0,9.98,-0.13,0.37
179700.0,10.05,-0.09,0.11
179720.0,10.06,-0.14,0.16
179740.0,10.07,-0.11,0.28
179760.0,9.99,-0.05,0.21
179780.0,9.98,-0.03,0.14
179800.0,9.93,-0.1,0.25
179820.0,9.95,-0.14,0.28
179840.0,10.01,0.0,0.33
179860.0,10.05,0.01,0.33
179880.0,9.96,-0.16,0.17
179900.0,10.03,-0.23,0.05
179920.0,10.04,-0.07,0.35
179940.0,10.0,-0.04,0.44
179960.0,9.98,-0.14,0.14
179980.0,10.0,-0.16,0.03
180000.0,9.96,-0.16,0.24
180020.0,9.98,-0.05,0.3
180040.0,10.01,0.14,0.26
180060.0,9.97,0.0,0.21
180080.0,9.98,-0.17,0.09
180100.0,10.0,-0.14,0.13
180120.0,10.08,-0.07,0.3
180140.0,10.0,-0.17,0.26
180160.0,10.06,-0.12,0.07
180180.0,10.0,-0.13,0.22
180200.0,9.96,-0.16,0.33
180220.0,10.07,-0.04,0.11
180240.0,10.04,-0.03,0.07
180260.0,9.96,-0.13,0.26
180280.0,9.98,-0.11,0.33
180300.0,10.01,0.03,0.23
180320.0,9.92,-0.06,0.17
180340.0,9.9,-0.21,0.13
180360.0,9.97,-0.15,0.13
180380.0,10.05,0.04,0.18
180400.0,10.04,0.08,0.28
180420.0,10.05,-0.21,0.14
180440.0,10.04,-0.34,0.06
180460.0,10.1,-0.17,0.2
180480.0,9.99,0.08,0.33
180500.0,9.92,-0.05,0.27
180520.0,9.87,-0.2,0.09
180540.0,9.99,-0.11,0.15
180560.0,10.01,-0.04,0.52
180580.0,10.01,-0.03,0.35
180600.0,10.03,-0.06,-0.04
180620.0,10.0,-0.08,0.02
180640.0,10.04,-0.15,0.24
180660.0,10.04,-0.01,0.27
180680.0,10.04,0.01,0.12
180700.0,10.06,-0.02,0.06
180720.0,10.01,-0.09,0.25
180740.0,9.97,-0.11,0.26
180760.0,10.02,-0.06,0.1
180780.0,10.01,-0.1,0.15
180800.0,10.01,-0.18,0.29
180820.0,9.98,-0.13,0.2
180840.0,10.01,-0.01,0.16
180860.0,9.98,-0.11,0.3
180880.0,9.97,-0.16,0.22
180900.0,9.95,-0.04,0.1
180920.0,9.98,0.08,0.16
180940.0,10.02,-0.1,0.23
180960.0,10.05,-0.2,0.26
180980.0,10.07,-0.11,0.22
181000.0,10.04,-0.08,0.24
181020.0,9.93,-0.2,0.37
181040.0,9.94,-0.15,0.21
181060.0,10.04,-0.1,0.23
181080.0,9.93,-0.06,0.37
181100.0,10.03,-0.12,0.21
181120.0,10.05,-0.11,0.15
181140.0,10.0,-0.07,0.28
181160.0,9.95,0.01,0.23
181180.0,9.99,-0.09,0.12
181200.0,10.01,-0.12,0.26
181220.0,10.01,-0.03,0.25
181240.0,10.01,-0.02,0.24
181260.0,9.97,-0.1,0.34
181280.0,9.92,-0.18,0.26
181300.0,10.01,-0.2,0.09
181320.0,10.04,-0.13,0.2
181340.0,10.0,-0.08,0.41
181360.0,9.99,-0.14,0.26
181380.0,9.98,-0.21,0.11
181400.0,9.99,-0.16,0.18
181420.0,9.92,-0.02,0.34
181440.0,9.98,-0.01,0.3
181460.0,10.06,-0.12,0.14
181480.0,10.03,-0.14,0.12
181500.0,9.95,-0.06,0.25
181520.0,10.03,-0.12,0.31
181540.0,10.04,-0.21,0.31
181560.0,9.98,-0.15,0.16
181580.0,10.04,-0.17,0.12
181600.0,10.0,-0.21,0.35
181620.0,10.02,-0.09,0.33
181640.0,10.0,-0.05,0.13
181660.0,9.94,-0.04,0.17
181680.0,9.97,-0.09,0.29
181700.0,9.95,0.03,0.3
181720.0,10.01,-0.04,0.15
181740.0,10.05,-0.25,0.16
181760.0,10.06,-0.21,0.35
181780.0,10.0,-0.01,0.37
181800.0,10.0,-0.07,0.19
181820.0,10.05,-0.32,0.11
181840.0,10.04,-0.36,0.28
181860.0,10.03,-0.08,0.29
181880.0,10.02,0.01,0.24
181900.0,10.0,-0.15,0.18
181920.0,9.98,-0.19,0.14
181940.0,9.94,-0.03,0.21
181960.0,9.93,0.08,0.3
181980.0,9.97,-0.07,0.18
182000.0,9.99,-0.15,0.16
182020.0,9.99,-0.15,0.19
182040.0,10.0,-0.09,0.37
182060.0,10.02,-0.11,0.28
182080.0,10.04,-0.17,0.19
182100.0,10.02,-0.1,0.16
182120.0,10.03,-0.13,0.25
182140.0,10.03,-0.1,0.29
182160.0,10.05,-0.08,0.24
182180.0,9.99,-0.09,0.1
182200.0,9.99,-0.08,0.08
182220.0,10.0,0.0,0.31
182240.0,10.03,-0.03,0.29
182260.0,10.0,-0.14,0.07
182280.0,10.03,-0.22,0.1
182300.0,10.06,-0.13,0.31
182320.0,9.99,-0.05,0.37
182340.0,9.91,-0.13,0.17
182360.0,9.94,-0.24,0.01
182380.0,10.05,-0.15,0.23
182400.0,10.0,0.02,0.45
182420.0,10.01,0.0,0.23
182440.0,10.01,-0.12,0.01
182460.0,10.02,-0.2,0.07
182480.0,9.99,-0.11,0.18
