miliseg,AcX,AcY,AcZ
313840.0,7.82,-5.72,-2.53
313860.0,7.97,-5.89,-1.98
313880.0,7.69,-6.06,-1.59
313900.0,7.5,-6.1,-1.57
313920.0,7.48,-6.03,-1.38
313940.0,7.87,-5.89,-1.7
313960.0,7.31,-5.88,-1.39
313980.0,7.33,-6.08,-1.7
314000.0,7.29,-5.73,-1.61
314020.0,7.65,-5.6,-1.97
314040.0,7.69,-5.77,-2.35
314060.0,7.66,-5.63,-2.42
314080.0,7.56,-5.46,-1.82
314100.0,7.58,-5.78,-1.42
314120.0,7.69,-5.66,-1.72
314140.0,7.83,-5.47,-2.29
314160.0,7.81,-5.6,-2.72
314180.0,8.04,-5.48,-2.58
314200.0,8.27,-5.68,-1.83
314220.0,8.25,-5.73,-1.36
314240.0,8.02,-5.7,-1.49
314260.0,8.09,-5.86,-1.72
314280.0,8.81,-5.26,-1.83
314300.0,8.51,-5.17,-1.22
314320.0,8.29,-5.9,-1.5
314340.0,8.12,-5.64,-1.7
314360.0,7.96,-5.33,-1.72
314380.0,7.77,-5.99,-1.59
314400.0,7.97,-5.61,-2.04
314420.0,7.99,-5.41,-1.51
314440.0,8.39,-5.15,-1.16
314460.0,8.21,-5.14,-1.16
314480.0,8.14,-5.54,-0.95
314500.0,8.11,-5.54,-0.7
314520.0,8.29,-5.42,-1.15
314540.0,8.24,-5.05,-1.48
314560.0,8.16,-5.44,-1.36
314580.0,8.41,-5.29,-1.06
314600.0,8.36,-5.53,-1.36
314620.0,8.27,-5.78,-1.5
314640.0,8.07,-5.45,-1.44
314660.0,7.93,-5.76,-1.39
314680.0,8.12,-5.5,-1.24
314700.0,8.08,-5.53,-1.24
314720.0,8.23,-5.72,-1.58
314740.0,8.35,-5.25,-1.29
314760.0,8.42,-5.21,-1.03
314780.0,8.4,-5.41,-1.45
314800.0,8.43,-5.24,-1.4
314820.0,8.42,-5.35,-1.5
314840.0,8.37,-5.47,-1.04
314860.0,8.4,-5.38,-1.1
314880.0,8.11,-5.18,-1.9
314900.0,7.88,-5.11,-1.52
314920.0,7.98,-5.42,-1.34
314940.0,8.19,-5.04,-1.54
314960.0,8.39,-5.09,-1.52
314980.0,8.28,-5.37,-1.87
315000.0,8.21,-5.25,-1.47
315020.0,8.54,-5.13,-1.28
315040.0,8.41,-5.11,-1.69
315060.0,8.38,-5.22,-1.9
315080.0,8.39,-5.2,-1.88
315100.0,8.23,-5.02,-1.34
315120.0,8.31,-5.49,-1.35
315140.0,8.34,-5.05,-1.03
315160.0,8.41,-5.2,-1.08
315180.0,8.08,-5.06,-1.4
315200.0,7.7,-5.32,-1.39
315220.0,7.87,-5.48,-1.52
315240.0,8.46,-5.18,-1.1
315260.0,8.75,-5.36,-1.79
315280.0,9.01,-4.28,-1.16
315300.0,8.49,-5.18,-1.65
315320.0,8.26,-5.19,-0.68
315340.0,8.08,-5.21,-0.28
315360.0,8.42,-5.61,-1.65
315380.0,8.51,-5.69,-1.68
315400.0,8.34,-4.99,-1.27
315420.0,8.37,-4.64,-1.01
315440.0,8.36,-5.08,-1.1
315460.0,8.38,-5.11,-1.33
315480.0,8.39,-5.06,-1.87
315500.0,8.35,-5.79,-1.23
315520.0,8.21,-5.47,-0.29
315540.0,8.23,-5.25,-0.11
315560.0,8.33,-5.37,-0.53
315580.0,8.57,-5.28,-1.14
315600.0,8.37,-5.17,-1.1
315620.0,8.29,-5.37,-0.38
315640.0,8.4,-5.61,-0.45
315660.0,8.61,-5.63,-0.71
315680.0,8.52,-4.76,-1.05
315700.0,8.41,-4.93,-0.95
315720.0,8.33,-5.64,-0.76
315740.0,8.31,-5.85,-0.82
315760.0,8.21,-5.38,-0.92
315780.0,8.06,-5.48,-0.49
315800.0,8.07,-5.96,-0.23
315820.0,8.02,-5.59,-0.22
315840.0,8.32,-5.33,-1.78
315860.0,8.3,-4.93,-1.87
315880.0,8.16,-5.48,-0.35
315900.0,8.28,-5.47,-0.5
315920.0,8.48,-5.7,-1.17
315940.0,8.63,-5.6,-1.55
315960.0,8.44,-5.19,-0.25
315980.0,8.21,-4.86,0.15
316000.0,8.32,-5.66,-0.7
316020.0,8.42,-5.71,-0.97
316040.0,8.29,-5.72,-0.86
316060.0,8.25,-5.12,-0.26
316080.0,8.28,-4.98,-0.19
316100.0,8.29,-5.48,-0.66
316120.0,8.32,-5.95,-1.11
316140.0,8.4,-6.05,-0.69
316160.0,8.33,-5.2,-0.31
316180.0,8.35,-5.43,-0.15
316200.0,8.32,-5.6,-0.37
316220.0,8.31,-5.69,-0.47
316240.0,8.32,-5.25,-0.8
316260.0,8.2,-4.89,-0.42
316280.0,8.13,-5.12,-0.09
316300.0,8.33,-5.45,-0.56
316320.0,8.35,-5.59,-0.73
316340.0,8.49,-5.09,-1.39
316360.0,8.4,-5.45,-0.77
316380.0,8.22,-5.24,-0.27
316400.0,8.42,-5.5,-0.79
316420.0,8.65,-6.06,-1.12
316440.0,8.38,-5.28,-0.05
316460.0,8.32,-5.2,0.49
316480.0,8.33,-5.69,0.06
316500.0,8.34,-5.4,-0.44
316520.0,8.39,-5.49,-0.82
316540.0,8.37,-5.53,-0.59
316560.0,8.2,-5.53,-0.15
316580.0,8.17,-5.46,-0.36
316600.0,8.2,-5.58,-0.57
316620.0,8.23,-5.72,-0.45
316640.0,8.39,-5.97,-0.43
316660.0,8.22,-5.2,0.06
316680.0,8.27,-5.5,-0.3
316700.0,8.21,-5.75,-0.35
316720.0,8.18,-5.51,-0.16
316740.0,8.32,-5.57,-0.56
316760.0,8.38,-5.54,-0.44
316780.0,8.3,-5.26,0.21
316800.0,8.38,-5.28,-0.37
316820.0,8.39,-5.68,-0.6
316840.0,8.29,-5.52,-0.15
316860.0,8.34,-5.54,-0.37
316880.0,8.41,-5.56,-0.28
316900.0,8.47,-5.46,-0.51
316920.0,8.32,-5.25,0.1
316940.0,8.32,-5.47,0.1
316960.0,8.39,-5.81,-0.05
316980.0,8.42,-5.32,-0.33
317000.0,8.45,-5.48,-0.33
317020.0,8.35,-5.74,-0.24
317040.0,8.25,-5.19,-0.16
317060.0,8.35,-5.64,-0.62
317080.0,8.28,-5.46,-0.08
317100.0,8.27,-5.68,-0.16
317120.0,8.24,-5.43,-0.11
317140.0,8.27,-5.61,-0.29
317160.0,8.12,-5.65,0.68
317180.0,8.18,-5.44,0.31
317200.0,8.36,-6.07,-0.29
317220.0,8.32,-5.2,-0.73
317240.0,8.25,-5.41,0.1
317260.0,8.41,-5.29,-0.4
317280.0,8.48,-5.66,-0.81
317300.0,8.36,-5.41,-0.52
317320.0,8.22,-5.7,0.54
317340.0,8.36,-6.07,0.48
317360.0,8.4,-5.43,0.31
317380.0,8.4,-4.98,-0.15
317400.0,8.5,-5.65,-0.68
317420.0,8.27,-5.57,-0.09
317440.0,8.32,-5.7,-0.14
317460.0,8.24,-5.6,-0.03
317480.0,8.32,-5.42,-0.18
317500.0,8.23,-5.38,-0.19
317520.0,8.26,-5.63,-0.68
317540.0,8.11,-5.69,-0.03
317560.0,8.15,-5.5,0.48
317580.0,8.24,-5.21,-0.1
317600.0,8.35,-5.92,-0.53
317620.0,8.37,-5.23,-0.53
317640.0,8.27,-5.25,0.21
317660.0,8.39,-5.51,0.09
317680.0,8.47,-5.95,-0.63
317700.0,8.5,-5.26,-1.05
317720.0,8.37,-5.47,-0.17
317740.0,8.24,-6.12,1.07
317760.0,8.34,-5.55,0.14
317780.0,8.38,-5.14,0.18
317800.0,8.65,-5.69,-0.59
317820.0,8.39,-5.24,0.09
317840.0,8.45,-5.42,0.08
317860.0,8.38,-5.26,-0.18
317880.0,8.38,-5.27,-0.27
317900.0,8.12,-4.95,0.84
317920.0,8.06,-5.95,0.85
317940.0,8.11,-6.27,0.54
317960.0,8.3,-6.61,-0.05
317980.0,10.84,-3.48,0.79
318000.0,10.68,-1.4,0.95
318020.0,9.46,-9.25,-2.05
318040.0,7.81,-9.3,-0.68
318060.0,6.85,-6.39,-0.98
318080.0,5.92,-7.17,-2.27
318100.0,5.64,-8.32,-1.03
318120.0,5.17,-8.31,0.49
318140.0,5.85,-7.21,1.65
318160.0,5.85,-7.03,2.48
318180.0,5.61,-7.67,2.9
318200.0,5.4,-8.06,1.73
318220.0,4.87,-7.27,0.17
318240.0,4.58,-5.61,-1.86
318260.0,4.52,-4.46,-4.55
318280.0,4.21,-2.9,-8.3
318300.0,3.87,-1.94,-11.17
318320.0,3.71,-1.55,-10.39
318340.0,3.53,-1.86,-9.62
318360.0,3.35,-1.69,-9.25
318380.0,2.92,-1.62,-8.71
318400.0,2.66,-1.81,-9.75
318420.0,2.98,-1.73,-9.6
318440.0,3.55,1.02,-9.68
318460.0,2.97,3.1,-10.44
318480.0,2.68,1.74,-9.99
318500.0,2.09,-1.19,-8.64
