miliseg,AcX,AcY,AcZ
532060.0,-0.77,-9.74,1.13
532080.0,-0.83,-9.79,1.14
532100.0,-0.86,-9.81,1.12
532120.0,-0.84,-9.69,1.14
532140.0,-0.85,-9.82,1.12
532160.0,-0.82,-9.66,1.08
532180.0,-0.83,-9.85,1.2
532200.0,-0.88,-9.75,1.11
532220.0,-0.79,-9.73,1.08
532240.0,-0.77,-9.89,1.06
532260.0,-0.82,-9.85,1.02
532280.0,-0.83,-9.79,1.07
532300.0,-0.86,-9.81,1.09
532320.0,-0.87,-9.7,1.07
532340.0,-0.85,-9.81,1.05
532360.0,-0.84,-9.72,1.02
532380.0,-0.8,-9.64,1.05
532400.0,-0.82,-9.79,1.09
532420.0,-0.87,-9.74,1.13
532440.0,-0.85,-9.8,1.13
532460.0,-0.81,-9.84,1.15
532480.0,-0.82,-9.9,1.1
532500.0,-0.74,-9.85,1.1
532520.0,-0.8,-9.87,1.13
532540.0,-0.85,-9.73,1.12
532560.0,-0.84,-9.72,1.16
532580.0,-0.83,-9.77,1.2
532600.0,-0.83,-9.71,1.2
532620.0,-0.84,-9.73,1.13
532640.0,-0.8,-9.64,1.16
532660.0,-0.78,-9.81,1.14
532680.0,-0.85,-9.79,1.19
532700.0,-0.84,-9.74,1.18
532720.0,-0.81,-9.76,1.17
532740.0,-0.77,-9.79,1.16
532760.0,-0.75,-9.76,1.2
532780.0,-0.81,-9.94,1.24
532800.0,-0.8,-9.76,1.17
532820.0,-0.78,-9.85,1.25
532840.0,-0.83,-9.81,1.2
532860.0,-0.75,-9.88,1.13
532880.0,-0.73,-9.75,1.11
532900.0,-0.73,-9.74,1.04
532920.0,-0.83,-9.88,1.12
532940.0,-0.83,-9.73,1.14
532960.0,-0.8,-9.72,1.1
532980.0,-0.82,-9.84,1.12
533000.0,-0.85,-9.68,1.1
533020.0,-0.78,-9.93,1.1
533040.0,-0.81,-9.74,1.14
533060.0,-0.82,-9.66,1.09
533080.0,-0.79,-9.88,1.13
533100.0,-0.82,-9.71,1.13
533120.0,-0.79,-9.86,1.17
533140.0,-0.81,-9.82,1.16
533160.0,-0.83,-9.68,1.09
533180.0,-0.85,-9.84,1.24
533200.0,-0.81,-9.8,1.22
533220.0,-0.82,-9.8,1.17
533240.0,-0.83,-9.94,1.2
533260.0,-0.8,-9.71,1.14
533280.0,-0.82,-9.75,1.2
533300.0,-0.83,-9.72,1.15
533320.0,-0.88,-9.67,1.18
533340.0,-0.82,-9.68,1.13
533360.0,-0.81,-9.71,1.11
533380.0,-0.81,-9.74,1.18
533400.0,-0.82,-9.71,1.15
533420.0,-0.85,-9.77,1.18
533440.0,-0.81,-9.86,1.17
533460.0,-0.81,-9.78,1.23
533480.0,-0.83,-9.79,1.16
533500.0,-0.76,-9.78,1.18
533520.0,-0.76,-9.88,1.18
533540.0,-0.78,-10.0,1.18
533560.0,-0.75,-9.87,1.15
533580.0,-0.82,-9.75,1.11
533600.0,-0.82,-9.81,1.16
533620.0,-0.8,-9.71,1.1
533640.0,-0.77,-9.71,1.13
533660.0,-0.83,-9.74,1.16
533680.0,-0.88,-9.69,1.17
533700.0,-0.82,-9.67,1.17
533720.0,-0.77,-9.73,1.17
533740.0,-0.77,-9.81,1.18
533760.0,-0.82,-9.87,1.16
533780.0,-0.79,-9.77,1.12
533800.0,-0.81,-9.78,1.15
533820.0,-0.81,-9.78,1.12
533840.0,-0.77,-9.83,1.14
533860.0,-0.76,-9.91,1.15
533880.0,-0.82,-9.76,1.2
533900.0,-0.85,-9.8,1.19
533920.0,-0.79,-9.73,1.12
533940.0,-0.77,-9.83,1.15
533960.0,-0.84,-9.71,1.14
533980.0,-0.83,-9.78,1.13
534000.0,-0.82,-9.7,1.18
534020.0,-0.81,-9.69,1.18
534040.0,-0.8,-9.74,1.21
534060.0,-0.85,-9.81,1.26
534080.0,-0.81,-9.85,1.2
534100.0,-0.83,-9.72,1.28
534120.0,-0.87,-9.77,1.2
534140.0,-0.84,-9.79,1.23
534160.0,-0.78,-9.76,1.15
534180.0,-0.81,-9.76,1.12
534200.0,-0.83,-9.87,1.18
534220.0,-0.82,-9.78,1.11
534240.0,-0.82,-9.76,1.14
534260.0,-0.85,-9.76,1.18
534280.0,-0.75,-9.82,1.14
534300.0,-0.79,-9.78,1.14
534320.0,-0.81,-9.81,1.11
534340.0,-0.81,-9.66,1.18
534360.0,-0.79,-9.84,1.14
534380.0,-0.76,-9.79,1.1
534400.0,-0.78,-9.8,1.15
534420.0,-0.78,-9.75,1.13
534440.0,-0.79,-9.69,1.16
534460.0,-0.77,-9.84,1.22
534480.0,-0.74,-9.72,1.23
534500.0,-0.75,-9.79,1.26
534520.0,-0.79,-9.86,1.31
534540.0,-0.79,-9.73,1.25
534560.0,-0.75,-9.91,1.23
534580.0,-0.77,-9.97,1.26
534600.0,-0.76,-9.81,1.26
534620.0,-0.78,-9.83,1.27
534640.0,-0.76,-9.73,1.24
534660.0,-0.75,-9.69,1.24
534680.0,-0.76,-9.74,1.32
534700.0,-0.81,-9.73,1.22
534720.0,-0.8,-9.7,1.24
534740.0,-0.74,-9.83,1.29
534760.0,-0.78,-9.72,1.2
534780.0,-0.75,-9.76,1.15
534800.0,-0.67,-9.83,1.21
534820.0,-0.66,-9.89,1.1
534840.0,-0.75,-9.82,1.21
534860.0,-0.76,-9.77,1.19
534880.0,-0.73,-9.8,1.25
534900.0,-0.72,-9.71,1.17
534920.0,-0.7,-9.84,1.21
534940.0,-0.69,-9.73,1.19
534960.0,-0.67,-9.73,1.23
534980.0,-0.77,-9.82,1.26
535000.0,-0.74,-9.65,1.28
535020.0,-0.66,-9.94,1.29
535040.0,-0.69,-9.83,1.27
535060.0,-0.68,-9.73,1.23
535080.0,-0.64,-9.82,1.22
535100.0,-0.68,-9.78,1.21
535120.0,-0.67,-9.88,1.23
535140.0,-0.66,-9.75,1.2
535160.0,-0.71,-9.87,1.22
535180.0,-0.72,-9.8,1.31
535200.0,-0.71,-9.67,1.27
535220.0,-0.72,-9.83,1.29
535240.0,-0.74,-9.86,1.23
535260.0,-0.72,-9.78,1.22
535280.0,-0.71,-9.78,1.17
535300.0,-0.73,-9.8,1.18
535320.0,-0.73,-9.89,1.2
535340.0,-0.74,-9.77,1.17
535360.0,-0.72,-9.79,1.16
535380.0,-0.79,-9.63,1.26
535400.0,-0.81,-9.82,1.14
535420.0,-0.71,-9.74,1.23
535440.0,-0.73,-9.64,1.12
535460.0,-0.78,-9.84,1.23
535480.0,-0.76,-9.77,1.24
535500.0,-0.78,-9.71,1.14
535520.0,-0.74,-9.74,1.13
535540.0,-0.73,-9.71,1.14
535560.0,-0.74,-9.9,1.13
535580.0,-0.72,-9.79,1.09
535600.0,-0.76,-9.78,1.16
535620.0,-0.72,-9.83,1.13
535640.0,-0.72,-9.84,1.13
535660.0,-0.7,-9.77,1.09
535680.0,-0.71,-9.83,1.09
535700.0,-0.71,-9.77,1.13
535720.0,-0.76,-9.8,1.17
535740.0,-0.72,-9.81,1.13
535760.0,-0.69,-9.71,1.13
535780.0,-0.71,-9.78,1.09
535800.0,-0.71,-9.86,1.14
535820.0,-0.7,-9.72,1.15
535840.0,-0.71,-9.74,1.16
535860.0,-0.71,-9.84,1.22
535880.0,-0.7,-9.77,1.22
535900.0,-0.71,-9.84,1.18
535920.0,-0.75,-9.8,1.21
535940.0,-0.68,-9.88,1.17
535960.0,-0.67,-9.84,1.18
535980.0,-0.76,-9.74,1.11
536000.0,-0.69,-9.85,1.19
536020.0,-0.72,-9.67,1.19
536040.0,-0.82,-9.63,1.11
536060.0,-0.72,-9.74,1.18
536080.0,-0.71,-9.89,1.21
536100.0,-0.69,-9.75,1.17
536120.0,-0.71,-9.89,1.18
536140.0,-0.7,-9.78,1.16
536160.0,-0.67,-9.83,1.16
536180.0,-0.7,-9.83,1.19
536200.0,-0.71,-9.83,1.24
536220.0,-0.66,-9.83,1.19
536240.0,-0.68,-9.76,1.16
536260.0,-0.7,-9.71,1.11
536280.0,-0.71,-9.78,1.13
536300.0,-0.69,-9.77,1.22
536320.0,-0.7,-9.79,1.18
536340.0,-0.73,-9.8,1.19
536360.0,-0.68,-9.69,1.18
536380.0,-0.68,-9.9,1.19
536400.0,-0.7,-9.8,1.23
536420.0,-0.65,-9.89,1.21
536440.0,-0.66,-9.88,1.26
536460.0,-0.78,-9.8,1.28
536480.0,-0.7,-9.84,1.31
536500.0,-0.68,-9.73,1.26
536520.0,-0.72,-9.79,1.15
536540.0,-0.71,-9.88,1.16
536560.0,-0.69,-9.68,1.11
536580.0,-0.64,-9.76,1.17
536600.0,-0.78,-9.81,1.23
536620.0,-0.81,-9.8,1.31
536640.0,-0.68,-9.75,1.21
536660.0,-0.74,-9.69,1.29
536680.0,-0.83,-9.82,1.23
536700.0,-0.73,-9.71,1.24
536720.0,-0.68,-9.83,1.27
536740.0,-0.66,-9.79,1.17
536760.0,-0.76,-9.8,1.23
536780.0,-0.7,-9.83,1.2
536800.0,-0.71,-9.78,1.13
536820.0,-0.71,-9.78,1.12
536840.0,-0.71,-9.89,1.17
536860.0,-0.7,-9.77,1.13
536880.0,-0.75,-9.78,1.12
536900.0,-0.74,-9.79,1.1
536920.0,-0.67,-9.75,1.14
536940.0,-0.71,-9.81,1.16
536960.0,-0.74,-9.77,1.18
536980.0,-0.72,-9.86,1.22
537000.0,-0.68,-9.74,1.16
