miliseg,AcX,AcY,AcZ
347780.0,8.14,-5.83,-0.71
347800.0,8.07,-5.92,-0.45
347820.0,8.02,-5.61,-0.23
347840.0,8.09,-5.78,0.01
347860.0,8.22,-6.38,-0.59
347880.0,8.26,-5.96,-1.1
347900.0,8.1,-5.64,-0.15
347920.0,8.03,-5.55,0.03
347940.0,8.06,-6.08,-0.26
347960.0,8.11,-5.86,-0.53
347980.0,8.12,-5.81,-0.18
348000.0,8.07,-5.82,-0.01
348020.0,8.08,-5.78,-0.55
348040.0,8.12,-6.16,-0.62
348060.0,7.98,-5.75,-0.57
348080.0,7.86,-5.76,-0.04
348100.0,7.91,-6.24,0.02
348120.0,8.03,-5.8,-0.71
348140.0,8.06,-6.19,-0.47
348160.0,8.03,-5.57,-0.01
348180.0,8.1,-5.56,-0.33
348200.0,8.03,-5.71,-0.29
348220.0,8.11,-6.0,-0.44
348240.0,8.14,-5.98,-0.58
348260.0,8.05,-5.78,-0.12
348280.0,8.0,-5.74,0.15
348300.0,8.11,-5.96,-0.13
348320.0,8.25,-6.04,-0.91
348340.0,8.19,-5.79,-0.32
348360.0,8.05,-5.61,0.24
348380.0,8.17,-5.92,-0.25
348400.0,8.2,-6.03,-0.57
348420.0,8.09,-5.9,0.12
348440.0,8.0,-6.05,0.48
348460.0,8.03,-5.73,-0.06
348480.0,8.04,-5.28,-0.87
348500.0,7.92,-6.02,-1.05
348520.0,7.78,-6.45,-0.22
348540.0,7.59,-6.47,0.65
348560.0,7.74,-6.6,-0.43
348580.0,8.13,-7.09,-0.34
348600.0,11.75,-2.07,2.6
348620.0,9.94,-5.75,-2.06
348640.0,7.44,-9.72,-1.96
348660.0,6.7,-7.45,0.17
348680.0,6.23,-7.06,0.48
348700.0,5.9,-8.21,-0.05
348720.0,5.3,-8.86,-0.51
348740.0,5.72,-7.61,-0.35
348760.0,6.74,-5.88,-1.2
348780.0,7.0,-5.65,-2.07
348800.0,6.62,-6.38,-2.88
348820.0,6.5,-5.1,-8.36
348840.0,6.26,-3.64,-8.33
348860.0,5.83,-4.73,-5.44
348880.0,5.5,-7.09,-2.67
348900.0,5.2,-6.47,-2.75
348920.0,4.92,-4.92,-4.04
348940.0,5.08,-4.36,-5.77
348960.0,5.0,-3.75,-7.03
348980.0,5.03,-3.44,-7.77
349000.0,5.0,-3.22,-7.81
349020.0,5.13,-3.52,-8.1
349040.0,5.21,-3.26,-7.86
349060.0,5.3,-3.09,-7.37
349080.0,5.34,-3.53,-6.77
349100.0,5.16,-3.79,-6.36
349120.0,5.18,-3.82,-6.12
349140.0,5.15,-3.88,-6.37
349160.0,5.2,-3.45,-6.81
349180.0,5.2,-3.06,-7.16
349200.0,4.98,-3.05,-6.85
349220.0,4.72,-3.32,-6.52
349240.0,4.74,-3.65,-6.37
349260.0,4.92,-3.46,-6.76
349280.0,5.03,-3.17,-7.55
349300.0,4.96,-2.86,-8.39
