miliseg,AcX,AcY,AcZ
548400.0,9.95,0.47,1.34
548420.0,9.93,0.48,1.43
548440.0,9.97,0.45,1.33
548460.0,9.98,0.55,1.4
548480.0,10.01,0.49,1.44
548500.0,9.94,0.39,1.3
548520.0,9.95,0.56,1.44
548540.0,9.95,0.51,1.42
548560.0,9.98,0.48,1.31
548580.0,9.96,0.56,1.38
548600.0,9.91,0.49,1.38
548620.0,9.98,0.47,1.34
548640.0,9.97,0.59,1.43
548660.0,10.0,0.66,1.38
548680.0,10.01,0.53,1.32
548700.0,9.99,0.45,1.42
548720.0,9.99,0.55,1.4
548740.0,10.04,0.52,1.4
548760.0,9.94,0.39,1.38
548780.0,10.0,0.45,1.4
548800.0,9.99,0.54,1.4
548820.0,10.02,0.61,1.36
548840.0,10.02,0.57,1.38
548860.0,10.0,0.58,1.35
548880.0,9.96,0.64,1.38
548900.0,9.88,0.56,1.39
548920.0,9.98,0.61,1.33
548940.0,9.98,0.52,1.49
548960.0,9.99,0.5,1.32
548980.0,10.03,0.51,1.34
549000.0,10.01,0.54,1.43
549020.0,9.97,0.57,1.41
549040.0,9.83,0.58,1.4
549060.0,9.98,0.57,1.39
549080.0,9.97,0.68,1.4
549100.0,9.96,0.64,1.43
549120.0,10.0,0.52,1.3
549140.0,9.99,0.6,1.38
549160.0,9.98,0.68,1.4
549180.0,9.95,0.39,1.44
549200.0,9.95,0.38,1.39
549220.0,9.96,0.6,1.44
549240.0,9.95,0.65,1.4
549260.0,9.99,0.61,1.35
549280.0,9.99,0.5,1.37
549300.0,9.95,0.63,1.36
549320.0,9.96,0.66,1.45
549340.0,10.04,0.43,1.37
549360.0,9.96,0.5,1.34
549380.0,9.9,0.65,1.37
549400.0,10.01,0.58,1.4
549420.0,10.04,0.47,1.37
549440.0,9.99,0.46,1.4
549460.0,9.96,0.68,1.4
549480.0,9.99,0.62,1.47
549500.0,9.96,0.52,1.41
549520.0,9.89,0.62,1.39
549540.0,10.01,0.66,1.49
549560.0,10.0,0.49,1.35
549580.0,9.93,0.61,1.38
549600.0,10.02,0.63,1.44
549620.0,10.03,0.54,1.39
549640.0,9.96,0.47,1.4
549660.0,9.91,0.66,1.4
549680.0,9.94,0.59,1.44
549700.0,9.98,0.53,1.39
549720.0,9.99,0.58,1.41
549740.0,9.98,0.65,1.41
549760.0,9.96,0.61,1.44
549780.0,9.98,0.62,1.45
549800.0,10.0,0.59,1.42
549820.0,9.95,0.56,1.41
549840.0,9.91,0.54,1.47
549860.0,9.93,0.55,1.39
549880.0,10.02,0.69,1.43
549900.0,10.02,0.51,1.45
549920.0,9.98,0.48,1.39
549940.0,9.97,0.66,1.43
549960.0,9.99,0.63,1.41
549980.0,9.95,0.6,1.42
550000.0,9.93,0.53,1.43
550020.0,9.95,0.55,1.45
550040.0,9.94,0.66,1.48
550060.0,9.98,0.58,1.45
550080.0,9.99,0.6,1.44
550100.0,9.95,0.62,1.45
550120.0,9.95,0.54,1.5
550140.0,9.99,0.56,1.46
550160.0,9.93,0.59,1.41
550180.0,10.01,0.66,1.37
550200.0,9.95,0.62,1.48
550220.0,9.96,0.58,1.38
550240.0,10.0,0.63,1.41
550260.0,10.01,0.65,1.48
550280.0,9.98,0.6,1.48
550300.0,9.95,0.55,1.4
550320.0,9.93,0.59,1.44
550340.0,9.95,0.59,1.45
550360.0,10.0,0.59,1.41
550380.0,9.93,0.61,1.46
550400.0,9.93,0.59,1.46
550420.0,9.98,0.63,1.39
550440.0,9.98,0.64,1.46
550460.0,9.95,0.64,1.47
550480.0,9.94,0.63,1.44
550500.0,9.98,0.6,1.46
550520.0,10.02,0.57,1.47
550540.0,9.96,0.59,1.4
550560.0,9.96,0.58,1.49
550580.0,9.96,0.63,1.47
550600.0,9.99,0.57,1.5
550620.0,9.97,0.61,1.45
550640.0,9.94,0.66,1.48
550660.0,9.93,0.57,1.46
550680.0,9.95,0.64,1.4
550700.0,10.0,0.61,1.42
550720.0,9.99,0.59,1.43
550740.0,9.98,0.62,1.4
550760.0,10.02,0.62,1.44
550780.0,9.97,0.53,1.5
550800.0,9.92,0.54,1.49
550820.0,9.94,0.65,1.44
550840.0,10.05,0.6,1.52
550860.0,9.98,0.63,1.41
550880.0,9.95,0.63,1.45
550900.0,10.0,0.52,1.47
550920.0,9.97,0.56,1.42
550940.0,9.93,0.72,1.48
550960.0,9.91,0.58,1.46
550980.0,9.96,0.59,1.47
551000.0,9.95,0.69,1.45
551020.0,9.93,0.63,1.48
551040.0,9.89,0.62,1.46
551060.0,9.97,0.53,1.52
551080.0,9.98,0.59,1.48
551100.0,9.97,0.6,1.48
551120.0,9.97,0.55,1.54
551140.0,9.99,0.55,1.43
551160.0,9.99,0.67,1.42
551180.0,10.0,0.68,1.45
551200.0,9.99,0.59,1.46
551220.0,9.98,0.53,1.46
551240.0,9.97,0.65,1.51
551260.0,9.97,0.7,1.5
551280.0,9.96,0.58,1.52
551300.0,9.99,0.54,1.48
551320.0,9.97,0.63,1.51
551340.0,9.93,0.6,1.47
551360.0,10.0,0.6,1.48
551380.0,9.98,0.62,1.47
551400.0,9.93,0.71,1.5
551420.0,9.97,0.6,1.49
551440.0,9.98,0.66,1.46
551460.0,9.87,0.72,1.53
551480.0,9.95,0.66,1.51
551500.0,9.93,0.59,1.52
551520.0,9.93,0.71,1.5
551540.0,9.99,0.66,1.57
551560.0,10.05,0.42,1.54
551580.0,9.94,0.65,1.5
551600.0,9.88,0.81,1.57
551620.0,9.97,0.58,1.54
551640.0,10.0,0.54,1.49
551660.0,9.96,0.73,1.51
551680.0,9.98,0.71,1.57
551700.0,9.89,0.63,1.53
551720.0,9.94,0.74,1.54
551740.0,9.97,0.68,1.52
551760.0,9.99,0.62,1.52
551780.0,9.93,0.63,1.57
551800.0,9.99,0.65,1.54
551820.0,9.94,0.59,1.5
551840.0,9.95,0.8,1.49
551860.0,9.95,0.8,1.61
551880.0,9.92,0.71,1.56
551900.0,9.98,0.64,1.61
551920.0,9.97,0.68,1.53
551940.0,9.96,0.66,1.61
551960.0,9.92,0.61,1.52
551980.0,9.93,0.71,1.54
552000.0,9.95,0.69,1.61
552020.0,9.95,0.72,1.5
552040.0,9.97,0.75,1.54
552060.0,9.97,0.78,1.58
552080.0,9.96,0.78,1.58
552100.0,9.98,0.74,1.59
552120.0,9.92,0.7,1.63
552140.0,9.86,0.71,1.58
552160.0,9.97,0.75,1.6
552180.0,9.99,0.65,1.62
552200.0,9.95,0.78,1.57
552220.0,9.98,0.79,1.57
552240.0,10.02,0.62,1.63
552260.0,9.96,0.74,1.53
552280.0,9.92,0.89,1.63
552300.0,9.94,0.76,1.56
